Timestamp,AMBIENT_TEMP,COLD_TEMP,HOT_TEMP
2024-08-02 12:49:08,68.54,69.26,68.36
2024-08-02 12:49:11,68.54,69.26,68.36
2024-08-02 12:49:14,68.54,69.26,68.36
2024-08-02 12:49:16,68.54,69.26,68.36
2024-08-02 12:49:19,68.54,69.26,68.36
2024-08-02 12:49:21,68.54,69.26,68.36
2024-08-02 12:49:24,68.54,69.26,68.36
2024-08-02 12:49:27,68.54,69.26,68.36
2024-08-02 12:49:29,68.54,69.26,68.36
2024-08-02 12:49:32,68.54,69.26,68.36
2024-08-02 12:49:35,68.54,69.26,68.36
2024-08-02 12:49:37,68.54,69.26,68.36
