Timestamp,WH AMBIENT,COLD WATER INLET
2024-02-29 09:47:54,68.36,69.98
2024-02-29 09:48:54,68.18,69.98
2024-02-29 09:49:54,68.18,69.98
2024-02-29 09:50:54,68.18,69.98
2024-02-29 09:51:54,68.18,70.16
2024-02-29 09:52:54,68.18,69.98
2024-02-29 09:53:54,68.18,70.16
2024-02-29 09:54:54,68.18,70.16
2024-02-29 09:55:54,68.18,70.16
2024-02-29 09:56:54,68.18,70.16
2024-02-29 09:57:54,68.18,70.16
2024-02-29 09:58:54,68.18,70.34
2024-02-29 09:59:54,68.18,70.52
2024-02-29 10:00:54,68.18,64.76
2024-02-29 10:01:54,68.18,49.82
2024-02-29 10:02:54,68.18,48.92
2024-02-29 10:03:54,68.18,49.64
2024-02-29 10:04:54,68.18,50.0
2024-02-29 10:05:55,68.18,50.9
2024-02-29 10:06:55,68.18,51.98
2024-02-29 10:07:55,68.18,52.88
2024-02-29 10:08:55,68.18,53.42
2024-02-29 10:09:55,68.18,54.32
2024-02-29 10:10:55,68.18,55.04
2024-02-29 10:11:55,68.18,55.4
2024-02-29 10:12:55,68.18,55.94
2024-02-29 10:13:55,68.18,56.48
2024-02-29 10:14:55,68.18,56.84
2024-02-29 10:15:55,68.18,57.38
2024-02-29 10:16:55,68.18,57.56
2024-02-29 10:17:55,68.18,58.28
2024-02-29 10:18:55,68.18,58.64
2024-02-29 10:19:55,68.18,59.36
2024-02-29 10:20:55,68.18,59.72
2024-02-29 10:21:55,68.18,60.08
2024-02-29 10:22:55,68.18,60.44
2024-02-29 10:23:55,68.18,60.98
2024-02-29 10:24:56,68.18,61.88
2024-02-29 10:25:56,68.18,62.24
2024-02-29 10:26:56,68.18,63.14
2024-02-29 10:27:56,68.18,64.04
2024-02-29 10:28:56,68.36,64.22
2024-02-29 10:29:56,68.36,64.58
2024-02-29 10:30:56,68.36,64.76
2024-02-29 10:31:56,68.18,65.48
2024-02-29 10:32:56,68.18,66.38
2024-02-29 10:33:56,68.36,67.46
2024-02-29 10:34:56,68.36,67.82
2024-02-29 10:35:56,68.36,68.54
2024-02-29 10:36:56,68.36,68.72
2024-02-29 10:37:56,68.36,69.08
2024-02-29 10:38:56,68.36,69.62
2024-02-29 10:39:56,68.18,69.8
2024-02-29 10:40:56,68.18,69.98
2024-02-29 10:41:56,68.18,70.7
2024-02-29 10:42:57,68.18,71.24
2024-02-29 10:43:57,68.18,71.78
2024-02-29 10:44:57,68.18,71.96
2024-02-29 10:45:57,68.36,72.68
2024-02-29 10:46:57,68.18,73.04
2024-02-29 10:47:57,68.36,72.86
2024-02-29 10:48:57,68.36,72.86
2024-02-29 10:49:57,68.36,73.04
2024-02-29 10:50:57,68.36,73.04
2024-02-29 10:51:57,68.36,72.86
2024-02-29 10:52:57,68.36,73.04
2024-02-29 10:53:57,68.36,73.04
2024-02-29 10:54:57,68.36,73.22
2024-02-29 10:55:57,68.36,73.58
2024-02-29 10:56:57,68.36,73.76
2024-02-29 10:57:57,68.36,74.48
2024-02-29 10:58:57,68.36,74.84
2024-02-29 10:59:57,68.54,75.38
2024-02-29 11:00:58,68.72,75.92
2024-02-29 11:01:58,68.9,75.38
2024-02-29 11:02:58,69.08,75.2
2024-02-29 11:03:58,69.08,75.02
2024-02-29 11:04:58,69.08,75.02
2024-02-29 11:05:58,69.08,74.84
2024-02-29 11:06:58,69.08,74.84
2024-02-29 11:07:58,68.9,74.84
2024-02-29 11:08:58,68.9,74.66
2024-02-29 11:09:58,68.72,74.48
2024-02-29 11:10:58,68.72,74.48
2024-02-29 11:11:58,68.72,74.3
2024-02-29 11:12:58,68.72,74.3
2024-02-29 11:13:58,68.54,74.12
2024-02-29 11:14:58,68.54,74.12
2024-02-29 11:15:58,68.54,74.12
2024-02-29 11:16:58,68.54,73.94
2024-02-29 11:17:58,68.54,73.76
2024-02-29 11:18:59,68.54,73.58
2024-02-29 11:19:59,68.36,73.58
2024-02-29 11:20:59,68.36,73.58
2024-02-29 11:21:59,68.36,73.58
2024-02-29 11:22:59,68.36,73.4
2024-02-29 11:23:59,68.36,73.22
2024-02-29 11:24:59,68.36,73.22
2024-02-29 11:25:59,68.36,73.22
2024-02-29 11:26:59,68.36,73.22
2024-02-29 11:27:59,68.18,73.04
2024-02-29 11:28:59,68.18,73.04
2024-02-29 11:29:59,68.18,72.86
2024-02-29 11:30:59,68.18,72.86
2024-02-29 11:31:59,68.18,72.86
2024-02-29 11:32:59,68.18,72.68
2024-02-29 11:33:59,68.18,72.68
2024-02-29 11:34:59,68.36,72.68
2024-02-29 11:35:59,68.18,72.68
2024-02-29 11:36:59,68.18,72.68
2024-02-29 11:37:59,68.18,72.5
2024-02-29 11:39:00,68.18,72.5
2024-02-29 11:40:00,68.18,72.32
2024-02-29 11:41:00,68.18,72.32
2024-02-29 11:42:00,68.18,72.32
2024-02-29 11:43:00,68.0,72.32
2024-02-29 11:44:00,68.0,72.32
2024-02-29 11:45:00,68.18,72.5
2024-02-29 11:46:00,68.18,72.14
2024-02-29 11:47:00,68.18,72.14
2024-02-29 11:48:00,68.18,72.14
2024-02-29 11:49:00,68.18,71.96
2024-02-29 11:50:00,68.18,71.96
2024-02-29 11:51:00,68.18,71.96
2024-02-29 11:52:00,68.18,71.96
2024-02-29 11:53:00,68.18,71.96
2024-02-29 11:54:00,68.18,71.96
2024-02-29 11:55:00,68.18,71.96
2024-02-29 11:56:00,68.18,71.96
2024-02-29 11:57:01,68.18,71.96
2024-02-29 11:58:01,68.18,72.32
2024-02-29 11:59:01,68.18,72.14
2024-02-29 12:00:01,68.18,71.78
2024-02-29 12:01:01,68.18,71.96
2024-02-29 12:02:01,68.18,71.96
2024-02-29 12:03:01,68.36,72.14
2024-02-29 12:04:01,68.36,71.96
2024-02-29 12:05:01,68.36,71.96
2024-02-29 12:06:01,68.36,71.96
2024-02-29 12:07:01,68.18,71.96
2024-02-29 12:08:01,68.18,71.96
2024-02-29 12:09:01,68.36,71.96
2024-02-29 12:10:01,68.36,71.78
2024-02-29 12:11:01,68.36,71.78
2024-02-29 12:12:01,68.36,71.78
2024-02-29 12:13:01,68.36,71.78
2024-02-29 12:14:01,68.36,71.78
2024-02-29 12:15:02,68.36,71.78
2024-02-29 12:16:02,68.36,71.78
2024-02-29 12:17:02,68.36,71.6
2024-02-29 12:18:02,68.36,71.78
2024-02-29 12:19:02,68.18,71.6
2024-02-29 12:20:02,68.18,71.6
2024-02-29 12:21:02,68.18,71.6
2024-02-29 12:22:02,68.18,71.6
2024-02-29 12:23:02,68.18,71.42
2024-02-29 12:24:02,68.36,71.6
2024-02-29 12:25:02,68.36,71.42
2024-02-29 12:26:02,68.36,71.42
2024-02-29 12:27:02,68.36,71.78
2024-02-29 12:28:02,68.18,71.42
2024-02-29 12:29:02,68.18,71.42
2024-02-29 12:30:02,68.18,71.42
2024-02-29 12:31:02,68.18,71.42
2024-02-29 12:32:02,68.18,71.42
2024-02-29 12:33:03,68.36,71.24
2024-02-29 12:34:03,68.36,71.24
2024-02-29 12:35:03,68.36,71.24
2024-02-29 12:36:03,68.36,71.24
2024-02-29 12:37:03,68.36,71.24
2024-02-29 12:38:03,68.36,71.42
2024-02-29 12:39:03,68.36,71.42
2024-02-29 12:40:03,68.18,71.42
2024-02-29 12:41:03,68.18,71.6
2024-02-29 12:42:03,68.18,71.78
2024-02-29 12:43:03,68.18,72.32
2024-02-29 12:44:03,68.18,71.96
2024-02-29 12:45:03,68.18,72.5
2024-02-29 12:46:03,68.18,72.86
2024-02-29 12:47:03,68.18,73.76
2024-02-29 12:48:03,68.18,73.76
2024-02-29 12:49:03,68.18,73.58
2024-02-29 12:50:03,68.18,74.12
2024-02-29 12:51:03,68.18,74.12
2024-02-29 12:52:03,68.18,74.84
2024-02-29 12:53:04,68.36,74.48
2024-02-29 12:54:04,68.18,74.84
2024-02-29 12:55:04,68.18,74.66
2024-02-29 12:56:04,68.18,74.84
2024-02-29 12:57:04,68.18,74.66
2024-02-29 12:58:04,68.36,74.48
2024-02-29 12:59:04,68.18,74.48
2024-02-29 13:00:04,68.18,74.48
2024-02-29 13:01:04,68.18,74.12
2024-02-29 13:02:04,68.18,74.3
2024-02-29 13:03:04,68.18,74.3
2024-02-29 13:04:04,68.18,74.12
2024-02-29 13:05:04,68.18,74.12
2024-02-29 13:06:04,68.18,74.12
2024-02-29 13:07:04,68.18,74.12
2024-02-29 13:08:04,68.18,73.94
2024-02-29 13:09:04,68.18,73.94
2024-02-29 13:10:04,68.18,73.76
2024-02-29 13:11:05,68.18,73.76
2024-02-29 13:12:05,68.18,73.76
2024-02-29 13:13:05,68.18,73.58
2024-02-29 13:14:05,68.18,73.76
2024-02-29 13:15:05,68.18,73.58
2024-02-29 13:16:05,68.18,73.58
2024-02-29 13:17:05,68.18,73.58
2024-02-29 13:18:05,68.18,73.4
2024-02-29 13:19:05,68.18,73.22
2024-02-29 13:20:05,68.18,73.22
2024-02-29 13:21:05,68.18,73.22
2024-02-29 13:22:05,68.18,73.04
2024-02-29 13:23:05,68.18,73.04
2024-02-29 13:24:05,68.18,73.22
